手続名称,書類正式名称,担当課,担当係,場所,用途,留意事項,電話番号,URL,電子申請
施設等利用給付認定の変更,子育てのための施設等利用給付認定変更申請書兼施設等利用給付認定変更届,保育課,保育認定係,本庁舎10階,幼児教育・保育の無償化にあたり保育の必要性の認定を変更する上での手続き,就労証明書等が必要,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/hoikuen/zaien/hoikushikyuunintei.html,
施設等利用費の請求（償還払）,施設等利用費請求書（償還払用）,保育課,保育サービス推進係,本庁舎10階,保護者が施設等利用費を区へ請求する,保護者の同意書が必要,(03)5984-1622,https://www.city.nerima.tokyo.jp/dl/shussan/ninkagaijosei.html,
保育の利用の解除,退園（継続通園）届,保育課,保育認定係,本庁舎10階,在園児童が転居等により保育施設を退園する際の手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/dl/shussan/hoikuen.html#cms7E206,
保育園継続通園申請,退園（継続通園）届,保育課,保育認定係,本庁舎10階,練馬区転居後も区内認可保育園を継続して利用する際の手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/dl/shussan/hoikuen.html#cms7E206,
短期特例保育利用料減免申請,短期特例保育保育料免除申請書,保育課,保育サービス推進係,本庁舎10階,短期特例保育利用料の減免申請受付、審査、免除（減額）決定・非該当通知書の交付を行う手続き,,(03)5984-1622,https://www.city.nerima.tokyo.jp/dl/shussan/byogoji.html,
延長保育の利用の停止,通園停止申請書,保育課,保育認定係,本庁舎10階,延長保育の利用開始後に、利用停止を届け出る手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/hoikuen/zaien/hoikuryou/hoikuryou.html,
保育の利用の停止,通園停止申請書,保育課,保育認定係,本庁舎10階,在園児童の病気等により一時的に通所できなくなった際の手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/hoikuen/zaien/hoikuryou/hoikuryou.html,
補助金の申請（認可外保育施設保育料補助金・償還払）,練馬区認可外保育施設保育料補助金交付申請書（償還払用）,保育課,保育サービス推進係,本庁舎10階,保護者が区へ当該補助金の申請をする手続き(申請),保護者の同意書、月ぎめ利用契約書の写し、領収書の写しが必要,(03)5984-1622,https://www.city.nerima.tokyo.jp/dl/shussan/ninkagaijosei.html,
短期特例保育利用申し込み,保育委託申込書,保育課,保育サービス推進係,本庁舎10階,利用の申し込み,必ず初めに保育サービス推進係までお電話ください,(03)5984-1622,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/tokurei.html,
保育料（延長保育料）の減額,保育料減額申請書,保育課,保育認定係,本庁舎10階,保育料を減額する際の手続き,医療費の領収書等が必要,(03)5984-1479,https://www.city.nerima.tokyo.jp/dl/shussan/hoikuen.html,
保育料支払証明書の申請,保育料支払証明書発行依頼書,保育課,保育認定係,本庁舎10階,保育料の支払い状況の証明書を発行する際の手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/dl/shussan/hoikuen.html,
保育料負担軽減,保育料負担軽減届出書,保育課,保育認定係,本庁舎10階,保育料の負担を軽減する際の手続き,障害者手帳が必要,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/hoikuen/zaien/hoikuryou/hoikuryou.html,
教育・保育給付認定,教育・保育給付認定申請書兼保育園等利用申込書,保育課,保育認定係,本庁舎10階,保育園等を利用するにあたり保育の必要性の認定を受ける上での手続き,就労証明書等が必要,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/youhomusyou/mushoukanintei.html,
教育・保育給付認定の変更,子どものための教育・保育給付認定変更申請書兼教育・保育給付認定変更届,保育課,保育認定係,本庁舎10階,保育の必要性の認定を変更する上での手続き,就労証明書等,(03)5984-1479,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/youhomusyou/mushoukanintei.html,
退園届（地域型保育事業）,退園届（地域型保育事業）,保育課,保育認定係,本庁舎10階,保護者から直接ではなく、地域型保育施設を経由して利用児童退園届の写しを受理し、地域型保育施設の利用を終了する手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/dl/shussan/hoikuen.html,
保育園在園証明書の申請,保育園在園証明書発行依頼書,保育課,保育認定係,本庁舎10階,保育園に在籍している証明書を発行する際の手続き,,(03)5984-1479,https://www.city.nerima.tokyo.jp/dl/shussan/hoikuen.html,
病児・病後児保育利用登録申請,練馬区病児・病後児保育利用登録（申請）書,保育課,保育サービス推進係,本庁舎10階,利用登録の申請,,(03)5984-1622,https://www.city.nerima.tokyo.jp/dl/shussan/byogoji.html,
病児・病後児保育利用料減額、免除申請,練馬区病児・病後児保育利用料免除(減免)申請書,保育課,保育サービス推進係,本庁舎10階,利用料減額、免除の申請,非課税証明書、生保受給証等が必要,(03)5984-1622,https://www.city.nerima.tokyo.jp/dl/shussan/byogoji.html,
音楽練習室利用団体の登録,音楽練習室利用登録申請書,,南大泉青少年館,南大泉1-44-7,申請者は音楽練習室利用講習会を受講した後、青少年館に音楽練習室利用登録申請書を提出する。,,(03)3998-5341,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kyoiku/seishonen/seishonenshisetsu/seishonen/minamioizumiseishoun/ongakushitsu.html,
青少年キャンプ場集会所の利用,青少年キャンプ場の利用申請書,青少年課,青少年係,本庁舎11階,キャンプ場集会室を利用しようとする団体から区へ提出された申請を承認する手続き,利用申請書が必要,(03)5984-4691,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kyoiku/seishonen/camp/moushikomi.html,
青少年キャンプ場の利用申請,青少年キャンプ場の利用申請書,青少年課,青少年係,本庁舎11階,キャンプ場を利用する際に利用者から区へ申請を行う手続き,利用申請書、名簿、行動計画書が必要,(03)5984-4691,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kyoiku/seishonen/camp/moushikomi.html,
"乳幼児一時預かり事業
利用登録申請",乳幼児一時預かり事業利用登録申請書,子ども家庭支援センター,育児支援係,豊玉北5-28-3,乳幼児一時預かり事業を利用するための登録申請,乳幼児一時預かり利用票、乳幼児医療証、母子健康手帳が必要,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/itijiteki_hoiku/nyuuyoujiazukari.html,https://www.nerima-piyopiyo.com/piyopiyo/
"乳幼児一時預かり事業
利用申請",乳幼児一時預かり事業利用申請書,子ども家庭支援センター,育児支援係,豊玉北5-28-3,乳幼児一時預かり事業の利用申請,,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/itijiteki_hoiku/nyuuyoujiazukari.html,https://www.nerima-piyopiyo.com/piyopiyo/
"乳幼児一時預かり事業
利用承認取消申請",利用承認取消申請書,子ども家庭支援センター,育児支援係,豊玉北5-28-3,乳幼児一時預かり事業の利用の承認を取り消す申請書（事前キャンセル）,,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/itijiteki_hoiku/nyuuyoujiazukari.html,https://www.nerima-piyopiyo.com/piyopiyo/
育児支援ヘルパー事業利用申請,練馬区育児支援ヘルパー事業利用申請書,子ども家庭支援センター,育児支援係,豊玉北5-28-3,育児支援ヘルパー事業を利用する際の利用承認を受けるための申請,母子健康手帳・非課税証明書・生活保護受給証明書が必要,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/sodan/kodomokateicenter/helper.html,
育児支援ヘルパー事業変更申請,練馬区育児支援ヘルパー事業変更申請書,子ども家庭支援センター,育児支援係,豊玉北5-28-3,育児支援ヘルパー事業の申請内容が変更した場合に申請する,母子健康手帳・変更内容がわかる書類,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/sodan/kodomokateicenter/helper.html,
子どもトワイライトステイ（夜間一時保育）,"利用要件証明書,利用要件申立書",子ども家庭支援センター,育児支援係,豊玉北5-28-3,トワイライトステイ事業を利用するための登録申請,あらかじめご利用施設で親子面談（登録）が必要,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/twilightstay.html,
子どもショートステイ,"利用要件証明書,利用要件申立書",子ども家庭支援センター,育児支援係,豊玉北5-28-3,子どもショートステイ事業を利用するための登録申請,あらかじめご利用施設で親子面談（登録）が必要,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/shortstay.html,
子育てスタート応援券の再交付申請,練馬区子育てスタート応援券交付申請書,子ども家庭支援センター,育児支援係,豊玉北5-28-3,子育てスタート応援券の再交付申請,,(03)5984-5673,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/sodan/kodomokateicenter/kododateouenken.html,
ファミリーサポートの利用会員登録申請,練馬区ファミリーサポート事業利用会員入会申込兼登録書,,練馬区ファミリーサポートセンター,豊玉北5-18-12,ファミリーサポートの利用会員登録申請,,(03)3993-4100,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/itijiteki_hoiku/famisapohome.html,
